Legend,HE shop,Crusher,Annex A,Loading areas,One way,Dumping site
Coordinate 1,"10.340231, 123.722796","10.335661, 123.720910","10.335000, 123.720827","10.336238, 123.728001","10.335143, 123.726285","10.324975, 123.717749"
Coordinate 2,"10.339940, 123.723291","10.335368, 123.721744","10.334330, 123.720617","10.335360, 123.730117","10.335533, 123.724536","10.324112, 123.717381"
Coordinate 3,"10.339407, 123.723955","10.336085, 123.722008","10.333635, 123.720277","10.334336, 123.728981","10.337887, 123.726596","10.323894, 123.720369"
Coordinate 4,"10.338433, 123.723386","10.336320, 123.722627","10.333234, 123.720757","10.333262, 123.727534","10.339534, 123.728903","10.325249, 123.720429"
Coordinate 5,"10.337723, 123.722644","10.336529, 123.721973","10.334331, 123.721006","10.334280, 123.726778","10.337739, 123.730855",
Coordinate 6,"10.338230, 123.721890","10.336283, 123.721334","10.334985, 123.721187","10.335799, 123.727093","10.336526, 123.730383",
Coordinate 7,"10.338745, 123.721163",,,"10.336967, 123.728222","10.337760, 123.728195",
Coordinate 8,"10.339597, 123.721782",,,,,
Coordinate 9,,,,,,
Coordinate 10,,,,,,
Coordinate 11,,,,,,
